rep,fold,model,mbe,mae,rmse,r2,corr,corr_rank,power_t10,power_b10,var_additive,var_residual,h2
2,2,SVR,0.10629159225955519,0.9790391915424543,1.2573200657179895,0.26705762943624145,0.5681723063207766,0.5794109459214828,0.3125,0.1875,0.25595986177866004,1.5795530160597375,0.1394486875
2,2,RandomForest,0.09608087331389946,0.991534858618207,1.276048983474953,0.24505932143922116,0.5656620685062815,0.5611378257542682,0.25,0.25,0.19521205920944368,1.6293820184311494,0.1069893088
2,2,XGBoost,0.06542644614014698,0.952956075041246,1.192513989419416,0.34066656381819904,0.5920886731127147,0.5923749427633911,0.3125,0.3125,0.5494138742368859,1.4268396256485614,0.2780077932
2,2,LightGBM,0.06593429654361081,0.9335750548137962,1.1784771794335147,0.35609693924408004,0.5989757725533215,0.6086795799555494,0.25,0.3125,0.7134064925962387,1.3932793547491065,0.3386392392
2,3,ridge,-0.027973811797576617,0.9888877470180966,1.2739542087607216,0.288019500286282,0.5556924638863076,0.5404215961141478,0.3125,0.4375,0.3908230406275777,1.6325091281266357,0.1931581214
2,3,lasso,-0.0718868766985459,0.8877840377817288,1.1371288129476427,0.43274309499053576,0.6739469486354382,0.6508178940274644,0.5,0.625,0.6575957595304632,1.296097362055353,0.3365911218
2,3,elastic_net,-0.06945512194223755,0.8923153078435145,1.1441165267332325,0.42575002997650957,0.6698374757388929,0.6481587686484858,0.5,0.5625,0.6336388335899914,1.3124854829252004,0.3255901117
2,3,gBLUP,0.1311667881260748,1.2131455582620394,1.5474551292328407,-0.05050129683390292,0.2935949902384023,0.32592692881667396,0.0625,0.1875,0.9781059200351663,2.3925554064185435,0.2901822003
2,3,SVR,0.03312103841681255,1.0375465794498093,1.339494663648702,0.21287729740503436,0.5026229432133242,0.4803874290912576,0.25,0.375,0.21263650889419755,1.8045702816540854,0.1054113589
2,3,RandomForest,0.01749770787949686,1.039444768492055,1.339213168034082,0.21320809126821116,0.5304629215046703,0.5289636256596472,0.1875,0.375,0.16674110136882464,1.804607304875578,0.0845822589
2,3,XGBoost,-0.017408070043730482,1.018480517928504,1.3163796617715593,0.23980888260168653,0.4917911074753072,0.4954629053530872,0.125,0.4375,0.46044203566280717,1.7435877384564258,0.2089091722
2,3,LightGBM,-0.018028151800294413,0.9741122269176761,1.2575511508517612,0.30623596649297835,0.5535214634529584,0.5416477145669262,0.25,0.4375,0.709809946132701,1.5911806463356568,0.30848016
